12|Mua bảo hiểm y tế tự nguyện năm 2018
12|bảo hiểm y tế
12|Danh mục nơi khám chữa bệnh ngoại tỉnh rất hạn chế
12|Hỏi về thông tuyến bhty
12|Thủ tục thay đổi nơi khám chữa bệnh ban đầu
12|Giải đáp thắc mắc bhxh
12|Chế độ BHYT
12|Hỏi về nơi đăng ký khám chữa bệnh
12|Hỏi về thẻ BHYT
12|thông tin trên thẻ BHYT không hợp lý
12|thời gian đóng BHYT 5 năm liên tục
12|Hỏi đáp về thẻ BHYT
12|Bảo hiểm y tế 5 năm liên tục
12|Cách tính thời gian hưởng chế độ BHYT liên tục 5 năm
12|BHYT cho đối tượng nghỉ việc không lương
12|Đề nghị giải đáp về  bảo hiểm y tế
12|BHYT
12|BẢO HIỂM Y TẾ
12|mức đóng BHYT
12|Có phải đóng BHYT?
12|Mua bảo hiểm y tế tự nguyện năm 2018
12|bảo hiểm y tế
12|Danh mục nơi khám chữa bệnh ngoại tỉnh rất hạn chế
12|Hỏi về thông tuyến bhty
12|Thủ tục thay đổi nơi khám chữa bệnh ban đầu
12|Giải đáp thắc mắc bhxh
12|Mua bảo hiểm y tế tự nguyện năm 2018
12|bảo hiểm y tế
12|Danh mục nơi khám chữa bệnh ngoại tỉnh rất hạn chế
12|Hỏi về thông tuyến bhty
12|Thủ tục thay đổi nơi khám chữa bệnh ban đầu
12|Giải đáp thắc mắc bhxh
12|Chế độ BHYT
12|Hỏi về nơi đăng ký khám chữa bệnh
12|Hỏi về thẻ BHYT
12|thông tin trên thẻ BHYT không hợp lý
12|thời gian đóng BHYT 5 năm liên tục
12|Hỏi đáp về thẻ BHYT
12|Bảo hiểm y tế 5 năm liên tục
12|Cách tính thời gian hưởng chế độ BHYT liên tục 5 năm
12|BHYT cho đối tượng nghỉ việc không lương
12|Đề nghị giải đáp về  bảo hiểm y tế
12|BHYT
12|BẢO HIỂM Y TẾ
12|mức đóng BHYT
12|Có phải đóng BHYT?
12|Sai thông tin trên BHYT
12|Bảo hiểm cho lao động là người nước ngoài
12|Hồ sơ cấp thẻ BHYT năm 2017
12|thông tin trên thẻ bhyt bị sai
12|Chọn nơi đăng ký KCB ban đầu - thẻ BHYT
12|Thẻ BHYT có quyền lợi cao hơn
12|Hỏi về nơi đăng kí KCB ban đầu
12|thủ tục cấp thẻ BHYT
12|Mua bao hiểm y tế
12|Thẻ BHYT có quyền lợi cao hơn
12|Thủ tục cấp thẻ BHYT 2017
12|Thay đổi nới khám chữa bệnh ban đầu
12|chuyển bảo hiểm xh
12|Chuyển bảo hiểm
12|Thời hạn gia hạn thẻ BHYT năm 2017
12|tra cuu nam da dong bao hiem
12|5 năm liên tục có bao gồm BHYT tham gia ở trường học?
12|Không tra cứu được thẻ bảo
12|Truy thu tiền bảo hiểm y tế
12|tôi muốn xin lại mã thẻ BHYT năm 2015-2016
12|Hỏi số thẻ bảo hiểm y tế
12|Chốt sổ bảo hiểm xã hội
12|Thẻ bảo hiểm y tế
12|Giảm đóng BHYT
12|Đóng BHYT dễ hay khó
12|Trẻ em hưởng BHYT ra sao
12|BHYT, xã hội đối với phụ nữ có thai nghỉ việc trước sinh
12|Đăng ký khám chữa bệnh ban đầu
12|Nơi khám chữa bệnh ban đầu năm 2016
12|mua bảo hiểm y tế tự nguyện
20|Bảo hiểm xã hội tự nguyện
20|Tra cứu quá trình tham gia BHXH
20|Hỏi về nơi trả kết quả chế độ thai sản
20|Khai báo BHXH lần đầu của doanh nghiệp
20|Bảo hiểm bắt buộc tham gia lần đầu
20|Xin dấu BHXH
20|Đóng BHXH cho NLĐ
20|Thời gian lĩnh tiền bảo hiểm thai sản
20|Quy định về đóng bảo hiểm cho người lao động làm việc theo mùa vụ hoặc một công việc nhất định có thời hạn <3 tháng
20|Hỏi về chế độ thai sản
20|Chế độ ốm đau thứ 7 có được hưởng không
20|Thủ tục chốt sổ bảo hiểm
20|Hưởng chế độ thai sản cho chồng khi vợ sinh con
20|Thời gian giải quyết chế độ dưỡng sức sau sinh
20|bảo hiểm xã hội
20|Bảo hiểm xã hội
20|Thủ tục đỏi mã số để hưởng chế độ người có công
20|Thủ tục đỏi mã số để hưởng chế độ người có công
20|thời gian bị cắt thẻ giá trị sử dụng thẻ do nợ tiền có bị gọi là gián đoạn không?
20|Chốt sổ BHXH
20|Tỷ lệ đóng bảo hiểm
20|Chốt sổ tại đơn vị cũ
20|Tra mã số BHXH
20|Người lao độn ký HĐLĐ tại 2 đơn vị
20|Thay đổi nơi KCB ban đầu
20|Nghỉ thai sản đi làm trước thời hạn 02 tháng
20|Truy giảm
20|Sổ BHXH trùng thời gian
20|Báo tăng lại
20|Thanh tra, kiểm tra truy thu điều chỉnh lương
20|NLĐ được tăng lương trên 06 tháng báo điều chỉnh chậm
20|ười lao động làm việc ở Đà Nẵng có áp dụng mức lương tối thiểu vùng 2
20|Không có trường thông tin để nhập  thành viên HGĐ
20|đơn vị nợ BHYT từ 30 ngày
20|Đơn vị ngừng giao dịch
20|Có làm lại sổ BHXH khi người lao động sang công ty mới
20|Người lao động nghỉ không hưởng tiền lương, tiền công từ 14 ngày
20|mất sổ bhxh phải cần những thủ tục gì
20|Thủ tục để nhận lại sổ bảo hiểm khi chuyển công tác.
20|Thời hạn trả bảo hiểm thai sản
20|VV tính BHXH
20|Lĩnh tiền chế độ thai sản
20|Quy định trả thẻ bảo hiểm y tế với lao động nghỉ việc
20|Quá trình đóng BHXH
20|Thủ tục chốt sổ BHXH
20|Xin cấp lại sổ BHXH
20|In tờ rời sổ BHXH
20|SỐ TIỀN NỘP BẢO HIỂM
20|Thủ tục thoái thu BHXH
20|Thủ tục tham gia bhxh
13|bảo hiểm thất nghiệp
13|Bảo hiểm thất nghiệp
13|Số sổ bảo hiểm xã hội
13|Điều kiện trợ cấp thất nghiệp
13|Chưa chốt được sổ bảo hiểm
13|chế đọ hưởng bảo hiểm thất ngiệp
13|Hướng dẫn lập Hồ sơ Hưu trí cho người đã là công chức nhà nước 14 năm và được cử đi lao động nước ngoàii 04nawm
13|Xin hưởng trợ cấp thất nghiệtp một lần
13|Địa chỉ đăng ký BHTN
13|muốn thanh toán tiền bảo hiểm 1 lần
13|Bảo hiểm thất nghiệp
13|Khai báo BH thất nghiệp
13|Thủ tục chấm dứt HĐLĐ: NLĐ có phải thông báo cho DN khi có yêu cầu làm BHTN không?
13|1. NLĐ nghỉ việc từ T1/2011, đóng BHTN từ T5/2009, có được hưởng trợ cấp thất nghiệp không?
13|Một NLĐ làm việc từ t7/2008, đến t10/2011 chấm dưt HĐLĐ, thì người sử dụng LĐ phải giải quyết những chế độ gì cho NLĐ. Thủ tục giải quyết BHTN cho NLĐ ntn?
13|Bảo hiểm thất nghiệp
13|Bảo hiểm thất nghiệp
13|Làm thủ tục hưởng BHTN thế nào tính từ ngày bắt đầu nghỉ việc.  Vì nhiều người không biết các quy định nên không được nhận trợ cấp BHTN.
13|Đơn vị tôi chỉ có 9 lao động nên không tham gia bảo hiểm thất nghiệp  Nay NLD ký HD lao động 1 năm trở lên, từ tháng 12/2009, nay có đơn xin thôi việc. như vậy chúng tôi sẽ giải quyết cho nghười lao động theo chế độ gì trợ cấp thôi việc hay được trợ cấp t
13|Chế độ bảo hiểm thất nghiệp
13|Công ty em có lao động nam hơn 60 tuổi (Đủ tuổi nghỉ hưu) nhưng chỉ đóng Bảo hiểm xã hội được 14 năm nên làm thủ tục xin hưởng trợ cấp BHXH 1 lần. Vậy cho em hỏi người lao động đó có được hưởng Bảo hiểm thất nghiệp không? Vì người lao động đã đóng BH thất
13|em làm việc trong nhà nước và giờ thì có quyết định nghỉ việc từ ngày 1 tháng 11 năm 2011. em đóng bảo hiểm thất nghiệp 2 năm 10 tháng thì e được hưởng 3 tháng lương. cho em được hỏi nếu như em có việc làm liển em không nhận tiền trợ cấp thất nghiệp và em
13|Tôi đã đóng BHTN được 18 tháng, sau khi sinh con va hưởng trợ cấp thai sản thì tôi nghỉ việc. Vậy tôi có được hưởng Trợ cấp thất nghiệp không? Để được hưởng thì tôi phải làm những thủ tục gi?
